THIN INVESTIGATION ENTRIES AUDIT
================================

Summary: 0-item=26, 1-item=225, 2-item=0, 3-item=168, TOTAL=419


p.ts   | pentagon-budget-black-programs                             | Pentagon Budget Black Programs
p.ts   | pharmaceutical-ghost-writing                               | Pharmaceutical Ghost Writing
p.ts   | pharmaceutical-lobbying-machine                            | Pharmaceutical Lobbying Machine
p.ts   | port-authority-corruption-investigations                   | Port Authority Corruption Investigations
p.ts   | port-city-trafficking-hub-analysis                         | Port City Trafficking Hub Analysis
p.ts   | predictive-policing-algorithmic-racism                     | Predictive Policing Algorithmic Racism
p.ts   | private-military-contractor-accountability                 | Private Military Contractor Accountability
p.ts   | psychological-operations-domestic-theater                  | Psychological Operations Domestic Theater
q.ts   | qualified-immunity-police-accountability-gap               | Qualified Immunity Police Accountability Gap
r.ts   | real-estate-money-laundering-corridors                     | Real Estate Money Laundering Corridors
r.ts   | redaction-abuse-in-public-documents                        | Redaction Abuse in Public Documents
r.ts   | redistricting-manipulation-court-cases                     | Redistricting Manipulation Court Cases
s.ts   | secret-court-fisa-abuse-patterns                           | Secret Court FISA Abuse Patterns
s.ts   | shell-company-registration-state-analysis                  | Shell Company Registration State Analysis
s.ts   | social-media-addiction-engineering                         | Social Media Addiction Engineering
s.ts   | social-media-bot-farm-election-campaigns                   | Social Media Bot Farm Election Campaigns
s.ts   | spac-fraud-and-regulatory-failures                         | SPAC Fraud and Regulatory Failures
t.ts   | tech-worker-exploitation-visa-system                       | Tech Worker Exploitation Visa System
t.ts   | techno-authoritarianism-control-mechanisms                 | Techno-Authoritarianism Control Mechanisms
t.ts   | think-tank-dark-money-influence                            | Think Tank Dark Money Influence
t.ts   | toxic-waste-dumping-developing-nations                     | Toxic Waste Dumping Developing Nations
t.ts   | trade-based-money-laundering-schemes                       | Trade-Based Money Laundering Schemes
t.ts   | trafficking-in-conflict-zones                              | Trafficking in Conflict Zones
t.ts   | trafficking-victim-identification-failures                 | Trafficking Victim Identification Failures
t.ts   | trucking-industry-organized-crime                          | Trucking Industry Organized Crime
u.ts   | union-pension-fund-fraud-schemes                           | Union Pension Fund Fraud Schemes
v.ts   | vaccine-injury-compensation-cover-up                       | Vaccine Injury Compensation Cover-Up
v.ts   | voter-database-security-breaches                           | Voter Database Security Breaches
v.ts   | voter-roll-purges-and-suppression-tactics                  | Voter Roll Purges and Suppression Tactics
v.ts   | voting-machine-certification-failures                      | Voting Machine Certification Failures
w.ts   | water-treatment-chemical-health-effects                    | Water Treatment Chemical Health Effects
w.ts   | whistleblower-prosecution-timeline                         | Whistleblower Prosecution Timeline
w.ts   | wire-fraud-transnational-networks                          | Wire Fraud Transnational Networks
w.ts   | wire-transfer-fraud-international-corridors                | Wire Transfer Fraud International Corridors
w.ts   | workplace-monitoring-technology-growth                     | Workplace Monitoring Technology Growth
x.ts   | xkeyscore-universal-data-collection                        | XKeyscore Universal Data Collection


=== PER-FILE BREAKDOWN ===
c.ts  : 66 thin entries
p.ts  : 44 thin entries
t.ts  : 34 thin entries
s.ts  : 28 thin entries
a.ts  : 28 thin entries
m.ts  : 21 thin entries
w.ts  : 19 thin entries
e.ts  : 18 thin entries
f.ts  : 18 thin entries
b.ts  : 18 thin entries
r.ts  : 17 thin entries
i.ts  : 15 thin entries
o.ts  : 15 thin entries
g.ts  : 14 thin entries
d.ts  : 13 thin entries
h.ts  : 9 thin entries
u.ts  : 8 thin entries
n.ts  : 7 thin entries
v.ts  : 7 thin entries
l.ts  : 6 thin entries
k.ts  : 4 thin entries
j.ts  : 3 thin entries
y.ts  : 2 thin entries
1.ts  : 2 thin entries
2.ts  : 1 thin entries
q.ts  : 1 thin entries
x.ts  : 1 thin entries
